mo|email |website| phone1 |phone2
|inanlar@inanlarshoes.com || +90 212 6374997 |+90 212 6374971
|inci@incideri.com |www.incideri.com| +902124378155 |+902124378171
|issuterlik@hotmail.com || +90 212 6437506 |+90 212 6437264
|info@jappaleather.com |www.jappaleather.com| 0212-679-9050 |0212-679-9044
|muhasebe@logoderi.com || +90 212 4228252 |+90 212 4228262
|kardersan@kardersan.com |www.kardersan.com| +90 (224) 487-0050 | +90 (224) 487-0059
|kardeslerderi@hotmail.com turan1972@hotmail.com || +90 (212) 637-3435 | +90 (212) 637-7600
|seyyarv@mynet.com || +90 2124588879 |+90 2125183123
|kareks@superonline.com || +90 212 2806855 |+90 212 2642766
|savas@karmenleather.com || +90 212 2831700 |+90 212 2839400
|info@karyoka.com.tr || +90 212 612 64 80 |+90 212 612 64 90
|info@karyoka.com.tr |www.karyoka.com.tr| 90 212 612 64 80 |90 212 612 64 90
|kavsan@superonline.com || +90 364 5312531 |+90 364 5312535
| || +90 212 5465369 |+90 212 5465369
| || +90 224 2670550 |+90 224 2670565
|info@kizilkayaderi.com |www.kizilkayaderi.com| +90 (212) 416-6852 | +90 (212) 416-6852
|classicderi@ttmail.com || +90 212 5463534 |+90 212 5463534
|mustafa@kopuzlar.com |www.kopuzlar.com| +90 (216) 394-1224 | +90 (216) 394-1229
|info@tasd.com.tr |www.derisan.com| 0090 212 549 71 71 |0090 212 549 71 17 
|kucu@kuzu.com.tr || +90 212 5474095 |+90 212 5471964
|zeki@e-kolay.net || +90 212 6791004 |+90 212 5584799
|info@laleinsaat.com.tr || +90 212 6794141 |+90 212 5827083
|hudaveryilmaz@hotmail.com || +90 212 5478262 |+90 212 5584799
|lcm@lcmleather.com |www.lcmleather.com| +90 (232) 833-4248 | +90 (232) 833-4248
|levinsaon@levinsonleather.com || +90 212 6642453 |+90 212 5464974
|muhasebe@stephank.net || +90 212 5465565 |+90 212 5465579
|marc@liderderi.com; hatice@liderderi.com |www.liderderi.com| +90 (232) 376-8197 | +90 (232) 376-8073
|info@inuovo.com |www.inuovo.com| 90 212 458 22 28 |90 212 458 22 26
|info@mader-tanning.com; cemkobak@mader-tanning.com |www.mader-tanning.com| +90 (216) 394-1418 | +90 (216) 394-1420
|maxima@maxima.com || +90 212 2788886 |+90 212 2830823
| || +90 212 6127327 |+90 212 6127328
|info@marmaraderi.com |www.marmaraderi.com| +90 (212) 679-7462 | +90 (212) 679-7464
|info@gulerayakkabi.com |www.panucci.com.tr| 90 232 436 10 00 |90 232 436 10 05
|metinsport@gmail.com || +90 212 6380887 |+90 212 5165921
|feronia@feronialeather.com || +90 212 5468064 |+90 212 5824666
|minimen@minimen.com.tr |www.minimen.com.tr| 90 212 668 55 89 |90 212 667 20 41
|yavuz@modakurk.com || +90 212 5584578 |+90 212 5580696
|info@molyer.com |www.molyer.com| 90 212 671 56 90 |90 212 671 41 38 
|muhasebe@mrm.com.tr || +90 212 6041200 |+90 212 6567680
|murcaglar@superonline.com |www.murderderi.com| 0224 4870070 |0224 4870077
|ayhan@mutluderi.com || +90 212 4814864 |+90 212 4825897
| || +90 212 8557900 |+90 212 8761516
| || +90 212 8761515 |+90 212 8761516
|info@naca.com.tr || +90 212 2484828 |+90 212 2484829
|info@nurhancanta.com.tr || +90 212 5395611 |+90 212 5395569
|mustenur@nursace.com || +90 212 4286969 |+90 212 4286610
|info@odabasigroup.com |www.odabasigroup.com| +90 (212) 679-0101 | +90 (212) 679-1930
|oksa_pelle@hotmail.com || +90 212 4163109 |+90 212 4163107
|ilkanak.34@hotmail.com || +90 212 5173431 |+90 212 5173431
|burkan.akbas@orjin.com |www.orjin.com| +90.212.550 40 50 |+90.212.550 20 50
|serson@windowslive.com || +90 212 5175024 |+90 212 5172059
|info@oskarleather.com || +90 212 6382019 |+90 212 4168864
|info@osmleather.com |www.osmleather.com| +90 (232) 842-6215 +90 (232) 842-6216 | +90 (232) 842-6217
|info@ozgunesler.com |www.ozgunesler.com| +90 232 842 62 33 |+90 232 842 62 35
| || |
|ozderi@superonline.com || +90 216 3941380 |+90 216 3941379
|ozel@ozelderi.com.tr || +90 212 5583032 |+90 212 5825238
|vieriozer@hotmail.com || +90 212 5467542 |+90 212 5823690
|palaskabelt@superonline.com || +90 212 2255865 |+90 212 2255865
|info@paraff.com || +90 212 5050250 |+90 212 5050249
|info@parisleder.com.tr || +90 212 4164231 |+90 212 4155806
|pashaderi@pashaderi.com || +90 212 6939350 |+90 212 6939359
|info@pati.com.tr || +90 212 5493527 |+90 212 5493623
|info@pentaderi.com || +90 216 3941135 |+90 216 3941149
|perlina@perlina.com.tr |http://www.perlina.com.tr| 90 232 4363361 |90 232 4362735
|info@petek1855.com || +90 212 6132450 |+90 212 6139063
|pieda@pieda.com.tr || +90 212 5525759 |+90 212 4222375
|plastab@plastab.com.tr |www.plastab.com.tr| 90 212 886 58 10 |90 212 886 56 98 
|plastob@plasteb.com.tr || +90 212 8869810 |+90 212 8865698
|platin@platinderi.com.tr |www.platinderi.com.tr| +90 (212) 679-6692 | +90 (212) 679-8837
|info@polettoshoes.com |www.polettoshoes.com | 90 212 637 79 61 |90 212 637 79 62
| || +90 212 5177848 |+90 212 4588354
|mehmet@primaderi.com.tr || +90 216 3941765 |+90 216 3942029
|renkderi@renkderi.com.tr |www.renkderi.com.tr| +90 (212) 679-3235 | +90 (212) 546-8060
|rgderi@rgderi.com |www.rgderi.com| +90 (212) 582-1004 | +90 (212) 582-1013
|rivoleather@msn.com || +90 212 4160080 |+90 212 4160075
|info.ortopedi-rocco@hotmail.com || +90 212 5173129 |+90 212 6380521
|rozederi@hotmail.com || +90 212 5186654 |+90 212 5186658
|info@rubisderi.com.tr || +90 212 5462602 |+90 212 5462602
| || +90 216 3709400 |+90 216 3707292
|info@santana.com.tr || +90 212 6740888 |+90 212 6122138
|sasafur@sasafur.com || +90 212 4166464 |+90 212 4166221
| || +90 232 8325100 |+90 232 8326333
|sbtexport@gmail.com || +90 212 6377967 |+90 212 6377967
|sebata@sebata.com |www.sebata.com| 90 212 637 08 88 |90 212 637 06 76
|sehaterlik@superonline.com || +90 212 5165713 |+90 212 5165713
|info@lapinla.com || +90 212 5120162 |+90 212 5120163
|info@selinaleather.com || +90 212 5468216 |+90 212 5102601
|suat.sen@senderi.com.tr |www.senderi.com.tr| +90 212 639 78 50 |+90 212 639 78 59
|nevin@sevimlideri.com |www.sevimlideri.com| +90 232 842 62 10 |+90 232 842 62 09
|info@marmaraderi.com |www.marmaraderi.com| +90 (212) 679-7462 | +90 (212) 679-7464
|info@simgederi.com.tr |www.simgederi.com.tr| 0212 679 1188-0212 555 9080 |0212 679 2425
|info@soydan.com.tr || +90 212 6794747 |+90 212 6794656
|vicco@vicco.com.tr |www.vicco.com.tr| 90 212 442 55 44 |90 212 442 55 15
|tamergecgoren@suedmod.com |www.suedmod.com| 0 212 410 28 28 |0 212 410 28 68
|info@tahatekstil.com.tr || +90 212 4463990 |+90 212 4464005
|info@tanatar.com || +90 212 5676721 |+90 212 5016478
|info@tasarikurkmond.com || +90 212 6792842 |+90 212 5468476
|aynurbalaman@hotmail.com || +90 212 6659685 |+90 212 6659025
|info@tergan.com || +90 212 4448846 |+90 212 6128712
|tess@tess.com.tr |www.tess.com.tr| 902126645807 |902125460670
|info@topbas.com.tr |www.topbas.com.tr| 90 236 266 43 88 |90 236 266 40 24
|ozdemir@toprakkurk.com; sunay@toprakkurk.com |www.toprakkurk.com| +90 (282) 686-7373 | +90 (282) 686-7377
|tornado@tornado.com.tr || +90 212 5468585 |+90 212 5468588
|alberes@alberes.com.tr |http://www.alberes.com.tr| 90 212 549 36 24 |90 212 549 36 26
|info@trexta.com || +90 282 7583294 |+90 282 7583299
|t.hostann@hotmail.com || +90 212 6375097 |+90 212 6375208
|ercument@turgutkardesler.com.tr |www.turgutkardesler.com.tr| 0090 212 6370561 |0090 212 6373470
|info@turteksetiket.com |http://www.turteksetiket.com| +90 212 284 53 45 |+90 212 324 28 65
|turker@turkerayakkabi.com || +90 212 7712005 |+90 212 7712013
|info@uyguner.com; berivan@uyguner.com |www.uyguner.com| +90 (216) 394-1547 | +90 (216) 394-1551
|fevzi@velotus.com || +90 212 5151708 |+90 212 5150706
|veisoglu@oskarleather.com || +90 212 6382019 |+90 212 4168864
|info@venusayakkabi.com.tr |www.venusayakkabi.com.tr| 90 212 549 18 62 |90 212 549 84 45
|vieriozer@hotmail.com || +90 (212) 546-7542 | +90 (212) 582 36 90
|info@voderayakkabi.com |www.voderayakkabi.com| 90 232 436 22 55 |90 232 436 61 82
|uss@ussleather.com || +90 212 6579099 |+90 212 6579092
|info@yakupoglu.com.tr || +90 312 3981213 |+90 312 3981204
|yasaymerkez@hotmail.com || +90 212 5264864 |+90 212 5261017
|meleks@deridesen.com.tr || +90 212 6711715 |+90 212 5499774
|yener@yenershoes.com.tr |yenershoes.com.tr| 232 436 27 52 |232 436 52 86
|yesiller@yesillerderi.com.tr |www.yesillerderi.com.tr| +90 (212) 547-9090 | +90 (212) 547-9089
|yildiz@yildizderi.com.tr || +90 216 3942362 |+90 216 3941616
|yonaderi@yahoo.com || +90 212 4469100 |+90 212 4469108
|yuksan@yuksanderi.com; yuk.san@hotmail.com |www.yuksanderi.com| +90 (216) 394-1208 | +90 (216) 394-1210
|info@shakyleather.com || +90 212 6651122 |+90 212 6654246
|info@shakyleather.com |www.shakyleather.com| 0212 665 11 22 |0212 665 42 46
|ibrahimkursunoglu@guclu-group.com;hakantaskan@guclu-group.com |www.guclu-group.com| +90 (216) 394-2481 | +90 (216) 394-0890
|info@ziyaleather.com.tr || +90 212 6659102 |+90 212 5470614
|info@ziylan.com.tr || +90(212)446 89 89 |+90(212)446 21 41
|muhasebe@flo.com.tr || +90 212 4462288 |+90 212 4462255
|info@ziylantaban.com || +90 212 6890858 |+90 212 6890848
